Wall time,Step,Value
1733236288.6168568,800,-1009.18408203125
1733236291.4961352,1600,-1007.582763671875
1733236297.7859294,2400,-1010.6595458984375
1733236302.6934319,3200,-1010.3197631835938
1733236306.8035207,4000,-1008.634765625
1733236309.8210845,4800,-1007.0974731445312
1733236313.7693582,5600,-1007.0588989257812
1733236317.364935,6400,-1007.8865356445312
1733236320.7936485,7200,-1008.7471923828125
1733236323.9688597,8000,-1006.665771484375
1733236330.9327714,8800,-1009.9929809570312
1733236334.6130524,9600,-1009.8419189453125
1733236338.1729372,10400,-1007.6488037109375
1733236343.034756,11200,-1009.94921875
1733236346.83673,12000,-1007.5044555664062
1733236349.725355,12800,-1006.80810546875
1733236354.8006337,13600,-1011.050537109375
1733236357.2289999,14400,-1006.1907348632812
1733236362.048412,15200,-1008.0695190429688
1733236364.3980582,16000,-1005.7179565429688
1733236369.8132489,16800,-1006.64892578125
1733236373.1997006,17600,-1007.0004272460938
1733236378.0579014,18400,-1009.035400390625
1733236381.0149107,19200,-1007.1071166992188
1733236385.5309215,20000,-1007.7669677734375
1733236389.181011,20800,-1008.2861938476562
1733236393.3612733,21600,-1010.9566650390625
1733236397.9719102,22400,-1009.2330932617188
1733236403.7730067,23200,-1010.2544555664062
1733236408.1981602,24000,-1010.104248046875
1733236413.9597049,24800,-1008.8026123046875
1733236416.744826,25600,-1007.6845092773438
1733236420.2862687,26400,-1009.6309204101562
1733236423.8822932,27200,-1009.0367431640625
1733236427.5989475,28000,-1010.0021362304688
1733236431.438095,28800,-1009.9546508789062
1733236435.8057666,29600,-1010.0631103515625
1733236442.7516215,30400,-1010.7684936523438
1733236445.1929417,31200,-1006.3707885742188
1733236448.16255,32000,-1007.8851928710938
1733236454.0381699,32800,-1008.7048950195312
1733236456.610439,33600,-1005.845703125
1733236461.3185327,34400,-1009.8048706054688
1733236466.1462219,35200,-1009.5185546875
1733236469.5817206,36000,-1008.8858032226562
1733236472.9799695,36800,-1007.0359497070312
1733236478.5543787,37600,-1012.4678344726562
1733236481.483394,38400,-1007.4834594726562
1733236485.4103637,39200,-1010.3567504882812
1733236488.7705853,40000,-1009.8665161132812
1733236492.9095407,40800,-1008.2398071289062
1733236499.4266527,41600,-1007.7825927734375
1733236502.4515269,42400,-1008.1798706054688
1733236506.9082844,43200,-1010.0393676757812
1733236510.7345066,44000,-1008.2955322265625
1733236514.2685854,44800,-1008.71923828125
1733236518.1785758,45600,-1007.7759399414062
1733236521.9362783,46400,-1008.3323974609375
1733236524.9037704,47200,-1008.4735107421875
1733236527.4733984,48000,-1006.5375366210938
1733236530.6738348,48800,-1008.492431640625
1733236536.368884,49600,-1008.3594360351562
1733236540.9750156,50400,-1010.171875
1733236545.8092022,51200,-1010.123291015625
1733236549.4595942,52000,-1011.0628051757812
1733236553.663631,52800,-1008.6101684570312
1733236557.9172947,53600,-1010.5150146484375
1733236560.655472,54400,-1007.693359375
1733236564.4378452,55200,-1008.7144775390625
1733236567.9552767,56000,-1008.5841674804688
1733236571.5816646,56800,-1009.085693359375
1733236579.4384694,57600,-1013.3172607421875
1733236584.5716136,58400,-1011.825927734375
1733236589.3304355,59200,-1011.6563720703125
1733236593.078453,60000,-1009.7935180664062
1733236598.1225054,60800,-1011.9962768554688
1733236603.8716788,61600,-1011.9166870117188
1733236606.580159,62400,-1005.6229858398438
1733236610.839516,63200,-1010.3330078125
1733236615.2772443,64000,-1008.656982421875
1733236620.170704,64800,-1012.2645874023438
1733236625.7855945,65600,-1009.8346557617188
1733236629.9557252,66400,-1010.1221923828125
1733236632.323967,67200,-1006.3764038085938
1733236635.8333502,68000,-1009.9218139648438
1733236641.7781,68800,-812.7083740234375
1733236645.2334707,69600,-1010.3258666992188
1733236648.1383724,70400,-1008.1249389648438
1733236653.282881,71200,-1010.4802856445312
1733236656.6774995,72000,-1008.116455078125
1733236660.4710596,72800,-1008.9337768554688
1733236666.9415388,73600,-1013.6853637695312
1733236672.4182847,74400,-1008.7112426757812
1733236675.4644504,75200,-1009.1571044921875
1733236681.7127688,76000,-619.42578125
1733236686.62094,76800,-1015.2838745117188
1733236692.8137982,77600,-819.0653076171875
1733236696.6870565,78400,-1010.6307373046875
1733236703.3753223,79200,-818.5244140625
1733236707.950836,80000,-1009.2398071289062
1733236712.8159733,80800,-1014.4691162109375
1733236716.7051282,81600,-1011.3672485351562
1733236725.8104546,82400,-818.5196533203125
1733236733.4454558,83200,-1018.8974609375
1733236741.6133428,84000,-622.5992431640625
1733236748.9526536,84800,-1014.4959106445312
1733236756.857876,85600,-815.0552368164062
1733236762.6542494,86400,-818.2959594726562
