Wall time,Step,Value
1733232391.9603744,800,-1001.5803833007812
1733232393.2059832,1600,-1000.5532836914062
1733232394.2013273,2400,-1000.3817138671875
1733232395.2291205,3200,-1000.482666015625
1733232396.1981943,4000,-1000.6163940429688
1733232397.2280397,4800,-1000.81640625
1733232398.4850183,5600,-1001.4546508789062
1733232399.558341,6400,-1000.4199829101562
1733232400.5565045,7200,-1000.4686279296875
1733232401.567065,8000,-1000.7214965820312
1733232405.3832498,8800,-1000.556396484375
1733232406.3862357,9600,-1000.80322265625
1733232407.4129786,10400,-1000.7088012695312
1733232408.6752803,11200,-1000.767822265625
1733232409.7304857,12000,-1000.6590576171875
1733232410.7681623,12800,-1000.5007934570312
1733232411.831791,13600,-1000.3255615234375
1733232412.823419,14400,-1000.4075317382812
1733232414.0085535,15200,-1000.6902465820312
1733232415.2380974,16000,-1000.7056274414062
1733232418.8184035,16800,-1000.6196899414062
1733232419.8666604,17600,-1000.5264892578125
1733232420.9121172,18400,-1000.5227661132812
1733232421.9847527,19200,-1000.7332763671875
1733232423.0572956,20000,-1000.6580810546875
1733232424.1445773,20800,-1000.5374755859375
1733232425.1168191,21600,-1000.4090576171875
1733232426.3056107,22400,-1000.6099853515625
1733232427.3184474,23200,-1000.4412841796875
1733232428.4286804,24000,-1000.8253173828125
1733232431.8019512,24800,-1000.439208984375
1733232432.858138,25600,-1000.754150390625
1733232433.9030993,26400,-1000.4794921875
1733232435.0278387,27200,-1000.5242309570312
1733232436.1453204,28000,-1000.6786499023438
1733232437.2073705,28800,-1001.142333984375
1733232438.3128726,29600,-1000.5946044921875
1733232439.4003072,30400,-1000.5748291015625
1733232440.3777423,31200,-1000.3422241210938
1733232441.4814346,32000,-1000.7705688476562
1733232444.9289987,32800,-1000.7398071289062
1733232445.914946,33600,-1000.502685546875
1733232447.0228403,34400,-1000.8057250976562
1733232448.2778153,35200,-1000.5921630859375
1733232449.3419282,36000,-1000.3380126953125
1733232450.5431664,36800,-1001.0194091796875
1733232451.6133142,37600,-1000.7759399414062
1733232452.578823,38400,-1000.3641967773438
1733232453.564707,39200,-1000.4397583007812
1733232454.8069475,40000,-1000.794189453125
1733232455.8518567,40800,-1000.3788452148438
1733232459.313037,41600,-1001.0943603515625
1733232460.4229913,42400,-1001.3397216796875
1733232461.6337054,43200,-1001.401123046875
1733232462.7597487,44000,-1001.1914672851562
1733232463.8725705,44800,-1000.981201171875
1733232465.040698,45600,-1003.1353759765625
1733232466.1322784,46400,-1001.2454223632812
1733232467.3583813,47200,-1001.3128051757812
1733232468.7366416,48000,-1000.9005126953125
1733232469.9205506,48800,-1001.1728515625
1733232474.3474078,49600,-1022.9508056640625
1733232475.7456026,50400,-1010.8938598632812
1733232478.2411861,51200,-1020.8427734375
1733232479.424051,52000,-1003.6552734375
1733232480.7748544,52800,-1012.6446533203125
1733232482.3880072,53600,-1012.043701171875
1733232484.1094844,54400,-1011.7322387695312
1733232485.9113731,55200,-1018.916015625
1733232487.212748,56000,-1015.4366455078125
1733232488.6898906,56800,-1010.2559814453125
1733232493.2224307,57600,-1017.6495361328125
1733232496.0314906,58400,-1035.8839111328125
1733232499.844735,59200,-831.1607055664062
1733232503.985806,60000,-824.7625732421875
1733232507.1069639,60800,-1028.04345703125
1733232508.7565706,61600,-1016.4299926757812
1733232512.2770355,62400,-1021.9572143554688
1733232514.5882084,63200,-1015.8111572265625
1733232517.5589707,64000,-1031.3505859375
1733232522.0304291,64800,-1024.1256103515625
1733232530.0221188,65600,-662.7013549804688
1733232534.7316034,66400,-672.7922973632812
1733232539.0853314,67200,-1069.7728271484375
1733232543.2312887,68000,-1056.4920654296875
1733232547.2758744,68800,-891.3250732421875
1733232551.2394612,69600,-862.5653686523438
1733232557.0095668,70400,-1066.6591796875
1733232562.3877206,71200,-1103.069091796875
1733232566.5694287,72000,-871.0104370117188
1733232570.6088102,72800,-857.7154541015625
1733232574.932767,73600,-666.9942016601562
1733232580.3690035,74400,-1064.707275390625
1733232584.1413436,75200,-1077.2080078125
1733232586.6113634,76000,-1065.7869873046875
1733232592.0377069,76800,-1082.84130859375
1733232596.4111161,77600,-1063.3050537109375
1733232601.8643715,78400,-855.6329956054688
1733232605.9206553,79200,-1084.0120849609375
1733232610.128545,80000,-831.6290893554688
1733232613.9420652,80800,-1086.32763671875
1733232618.3634262,81600,-1051.690185546875
1733232623.4307714,82400,-1047.19921875
1733232627.64654,83200,-1050.1248779296875
1733232631.4240062,84000,-1068.6005859375
1733232634.5318446,84800,-1053.5623779296875
1733232637.650636,85600,-1047.3839111328125
1733232641.3313088,86400,-1064.186279296875
1733232645.0372748,87200,-1062.9769287109375
1733232649.6443925,88000,-1056.423828125
1733232652.8481705,88800,-1039.0474853515625
1733232656.0202954,89600,-1041.541259765625
1733232663.234632,90400,-670.385498046875
1733232667.578367,91200,-852.9152221679688
1733232672.0954168,92000,-667.9302978515625
1733232677.4500444,92800,-643.2117309570312
1733232682.719897,93600,-849.2250366210938
1733232687.2033587,94400,-433.2288818359375
1733232692.3169086,95200,-463.0283203125
1733232696.6147134,96000,-645.0470581054688
1733232704.4431725,96800,-255.91542053222656
1733232708.988381,97600,-647.3687744140625
1733232716.2356071,98400,-627.7000122070312
1733232724.0569615,99200,-257.3356628417969
1733232729.754554,100000,-450.5188903808594
1733232737.6385636,100800,-50.00300598144531
1733232745.4159086,101600,-235.69252014160156
1733232753.1759279,102400,-85.17430114746094
1733232757.4956932,103200,-842.9712524414062
1733232762.02111,104000,-236.17835998535156
1733232769.7548447,104800,-53.856388092041016
1733232777.429176,105600,-234.8032989501953
1733232785.1077776,106400,-446.5743713378906
1733232795.3525033,107200,-21.9928035736084
1733232803.0772727,108000,-237.28475952148438
1733232810.7717125,108800,-37.3067626953125
1733232818.5309622,109600,-45.98855972290039
1733232826.3199675,110400,-23.772499084472656
1733232834.0466192,111200,-35.058326721191406
1733232841.7107728,112000,-231.42893981933594
1733232849.525015,112800,-12.908913612365723
1733232857.386633,113600,-29.255552291870117
1733232865.1179464,114400,-221.41685485839844
1733232875.5622015,115200,-11.051188468933105
1733232883.4252744,116000,-12.143075942993164
1733232891.1335914,116800,-21.06962013244629
1733232898.9712026,117600,-6.429494380950928
1733232906.8327787,118400,-12.708067893981934
1733232914.6127806,119200,-8.881880760192871
1733232922.42258,120000,-212.2917022705078
1733232930.1738286,120800,-10.859823226928711
1733232938.0342324,121600,-25.143550872802734
1733232945.8110142,122400,-48.062042236328125
1733232956.3237762,123200,-3.9597668647766113
1733232964.3373766,124000,-9.402174949645996
1733232972.2036471,124800,-27.561059951782227
1733232980.0585651,125600,-30.423213958740234
1733232987.9294016,126400,-13.802074432373047
1733232995.8549597,127200,-12.264749526977539
1733233003.736413,128000,-15.433073997497559
1733233011.5318356,128800,-24.177398681640625
1733233019.2961206,129600,-24.191936492919922
1733233027.104479,130400,-16.240825653076172
1733233037.474685,131200,-36.62871551513672
1733233045.2603793,132000,-30.463674545288086
1733233053.0205462,132800,-6.158696174621582
1733233060.751453,133600,-13.936195373535156
1733233068.5677934,134400,-8.100290298461914
1733233076.3322592,135200,-17.01908302307129
1733233084.046266,136000,-16.033794403076172
1733233091.832708,136800,-15.365437507629395
1733233099.58002,137600,-22.33112144470215
1733233107.2717233,138400,-28.029766082763672
1733233115.0413368,139200,-10.765542030334473
1733233125.4159095,140000,-25.533798217773438
1733233133.4703257,140800,-21.85110855102539
1733233141.5341222,141600,-17.987201690673828
1733233149.5510688,142400,-31.37854766845703
1733233157.684887,143200,-19.50889015197754
1733233165.8799288,144000,-12.237728118896484
1733233173.9724991,144800,-9.199455261230469
1733233181.98959,145600,-17.376970291137695
1733233190.022441,146400,-12.32048225402832
1733233197.782572,147200,-13.62943172454834
1733233208.4556546,148000,-21.010549545288086
1733233216.206792,148800,-24.062877655029297
1733233223.9665494,149600,-11.461731910705566
1733233231.8631856,150400,-20.081872940063477
1733233239.5873103,151200,-211.90184020996094
1733233244.2572677,152000,-225.1829376220703
1733233251.94581,152800,-15.423843383789062
1733233259.6964786,153600,-210.06210327148438
1733233267.451891,154400,-20.568683624267578
1733233275.3833976,155200,-15.336553573608398
1733233285.917776,156000,-12.855992317199707
1733233293.8227088,156800,-11.702549934387207
1733233301.8137143,157600,-30.278501510620117
1733233309.7633553,158400,-38.63694381713867
1733233317.6730254,159200,-22.054519653320312
1733233325.6089888,160000,-27.599870681762695
1733233333.4928918,160800,-34.66884231567383
1733233341.3810785,161600,-36.796871185302734
1733233346.323756,162400,-414.4130554199219
1733233354.2220948,163200,-32.7963752746582
1733233364.6119742,164000,-28.081253051757812
1733233372.4497366,164800,-10.815879821777344
1733233380.3031137,165600,-8.331850051879883
1733233388.172571,166400,-20.687362670898438
1733233396.0194468,167200,-14.176280975341797
1733233403.9223166,168000,-15.755085945129395
1733233411.8346965,168800,-24.54501724243164
1733233419.695265,169600,-25.87494659423828
1733233427.5525002,170400,-28.146656036376953
1733233435.4365058,171200,-16.280780792236328
1733233443.3397653,172000,-23.618694305419922
1733233453.801697,172800,-4.513570308685303
1733233461.7092857,173600,-8.943744659423828
1733233469.5550067,174400,-8.968131065368652
1733233477.4464574,175200,-17.911256790161133
1733233485.397345,176000,-25.99778938293457
1733233493.2635162,176800,-21.429920196533203
1733233501.1203556,177600,-24.681476593017578
1733233508.9826117,178400,-12.733168601989746
