Wall time,Step,Value
1733234342.4165301,800,-1069.857177734375
1733234346.6650026,1600,-1057.3294677734375
1733234351.1263382,2400,-1063.3143310546875
1733234355.8217244,3200,-1056.131591796875
1733234361.214691,4000,-1061.4122314453125
1733234364.4129183,4800,-1051.740966796875
1733234368.1253693,5600,-1052.8365478515625
1733234373.3084857,6400,-1065.8792724609375
1733234376.8848643,7200,-1054.032958984375
1733234380.5116363,8000,-1072.26318359375
1733234388.0857642,8800,-876.14404296875
1733234392.872567,9600,-1066.746826171875
1733234396.250969,10400,-1045.66552734375
1733234400.3081539,11200,-1040.8023681640625
1733234402.341339,12000,-1026.7132568359375
1733234406.0953827,12800,-1077.8052978515625
1733234408.8879468,13600,-1031.762939453125
1733234414.3117268,14400,-1090.3741455078125
1733234417.3759751,15200,-1068.2591552734375
1733234421.1000924,16000,-1041.1358642578125
1733234428.5303195,16800,-1082.154052734375
1733234431.4165218,17600,-1050.1365966796875
1733234436.0373049,18400,-1055.81689453125
1733234439.2055416,19200,-1057.3465576171875
1733234443.6467736,20000,-1058.810302734375
1733234447.799267,20800,-1078.1090087890625
1733234451.7703452,21600,-1067.499267578125
1733234457.0575016,22400,-1098.475830078125
1733234459.3323674,23200,-1037.351318359375
1733234462.1191442,24000,-1053.0750732421875
1733234468.5465071,24800,-1050.119873046875
1733234472.867028,25600,-1060.922119140625
1733234476.874863,26400,-1059.8336181640625
1733234479.2451773,27200,-1045.934326171875
1733234482.6832376,28000,-1079.409912109375
1733234487.6034544,28800,-1070.393310546875
1733234493.84391,29600,-1094.6181640625
1733234497.7084656,30400,-1073.27978515625
1733234502.2698164,31200,-1073.879150390625
1733234505.1804745,32000,-1050.8558349609375
1733234511.6393673,32800,-1064.4547119140625
1733234515.5513618,33600,-1060.5089111328125
1733234519.405758,34400,-1062.4410400390625
1733234523.5995128,35200,-1071.6561279296875
1733234528.2723641,36000,-1058.3465576171875
1733234533.4534752,36800,-1070.201416015625
1733234537.8835316,37600,-1073.7506103515625
1733234541.8782141,38400,-1069.988525390625
1733234546.9555914,39200,-1061.5751953125
1733234553.0597906,40000,-1090.3701171875
1733234557.6397018,40800,-1076.33935546875
1733234564.0181904,41600,-1066.97509765625
1733234568.2782004,42400,-1076.86767578125
1733234572.6859,43200,-1065.534912109375
1733234577.0444937,44000,-1076.8494873046875
1733234582.9252849,44800,-1088.34326171875
1733234586.5842702,45600,-1066.037109375
1733234591.7677672,46400,-1075.125732421875
1733234596.9498215,47200,-1081.1463623046875
1733234600.5939386,48000,-1051.3472900390625
1733234602.9380565,48800,-1045.505859375
1733234609.8369958,49600,-1068.2520751953125
1733234615.0946522,50400,-1112.72265625
1733234619.0824769,51200,-1071.8455810546875
1733234621.7891068,52000,-1055.505615234375
1733234627.089733,52800,-1081.776611328125
1733234631.1735551,53600,-1069.2034912109375
1733234633.6467898,54400,-1041.4892578125
1733234638.8442252,55200,-1108.1651611328125
1733234645.3190074,56000,-919.0387573242188
1733234649.8754196,56800,-1069.4930419921875
1733234657.3370106,57600,-1070.6151123046875
1733234661.144622,58400,-1054.6361083984375
1733234665.7992845,59200,-1098.1177978515625
1733234670.066296,60000,-1097.4716796875
1733234674.694084,60800,-1096.6680908203125
1733234681.4203734,61600,-1088.43310546875
1733234686.264741,62400,-1106.1561279296875
1733234689.2534778,63200,-1046.5213623046875
1733234692.7151859,64000,-1058.0140380859375
1733234699.6974573,64800,-1099.5933837890625
1733234706.5389462,65600,-1095.8341064453125
1733234711.644889,66400,-1097.2742919921875
1733234716.5240474,67200,-1102.5792236328125
1733234722.5968797,68000,-711.7587280273438
1733234729.96197,68800,-940.2833251953125
1733234733.9234896,69600,-1071.766845703125
1733234738.8225698,70400,-1067.474609375
1733234743.6445343,71200,-1087.455810546875
1733234747.1320133,72000,-1101.69189453125
1733234752.1799247,72800,-922.4988403320312
1733234756.6536608,73600,-1071.167236328125
1733234767.8358397,74400,-714.3382568359375
1733234776.61508,75200,-592.32958984375
1733234781.6929774,76000,-910.1560668945312
1733234787.6315665,76800,-1128.2076416015625
1733234795.9586585,77600,-751.7368774414062
1733234800.949119,78400,-1099.5679931640625
1733234806.793954,79200,-1105.313232421875
1733234811.1677868,80000,-1108.6510009765625
1733234816.2517304,80800,-896.5472412109375
1733234821.3138428,81600,-923.3311767578125
1733234831.712358,82400,-976.5256958007812
1733234836.798495,83200,-739.38232421875
1733234844.0814931,84000,-394.04541015625
