Wall time,Step,Value
1733228441.9466178,800,-1000.1724243164062
1733228442.975529,1600,-1000.1912841796875
1733228444.0362647,2400,-1000.2024536132812
1733228445.052125,3200,-1000.2548828125
1733228446.0973895,4000,-1000.2313232421875
1733228447.2132137,4800,-1000.2213134765625
1733228448.2198691,5600,-1000.159423828125
1733228449.3558311,6400,-1000.267822265625
1733228450.4091046,7200,-1000.1892700195312
1733228451.398057,8000,-1000.1821899414062
1733228455.044318,8800,-1000.1897583007812
1733228456.065498,9600,-1000.221435546875
1733228457.1558244,10400,-1000.1765747070312
1733228458.2949545,11200,-1000.1953735351562
1733228459.3027828,12000,-1000.1597900390625
1733228460.417812,12800,-1000.2406616210938
1733228461.4099565,13600,-1000.169921875
1733228462.5593252,14400,-1000.2329711914062
1733228463.7854323,15200,-1000.2026977539062
1733228464.873874,16000,-1000.167236328125
1733228468.463444,16800,-1000.1845703125
1733228469.6195555,17600,-1000.2240600585938
1733228470.670841,18400,-1000.1351318359375
1733228471.617828,19200,-1000.1067504882812
1733228472.706308,20000,-1000.1732177734375
1733228473.9485292,20800,-1000.2579345703125
1733228475.1483197,21600,-1000.1926879882812
1733228476.1329787,22400,-1000.1786499023438
1733228477.2143908,23200,-1000.2130126953125
1733228478.2718325,24000,-1000.1961669921875
1733228481.87014,24800,-1000.2249755859375
1733228482.885962,25600,-1000.2461547851562
1733228483.9282188,26400,-1000.2374877929688
1733228484.9148877,27200,-1000.2606201171875
1733228486.1554143,28000,-1000.2874145507812
1733228487.142943,28800,-1000.1920776367188
1733228488.254301,29600,-1000.230224609375
1733228489.2324204,30400,-1000.1847534179688
1733228490.2414246,31200,-1000.20751953125
1733228491.3257148,32000,-1000.2464599609375
1733228495.5254061,32800,-1000.2798461914062
1733228496.9725304,33600,-1000.4862060546875
1733228498.0717123,34400,-1000.5103149414062
1733228499.3516834,35200,-1000.5420532226562
1733228500.456793,36000,-1000.7081298828125
1733228501.5479078,36800,-1000.2578735351562
1733228502.759193,37600,-1000.61572265625
1733228503.8471062,38400,-1000.3648071289062
1733228504.9021828,39200,-1000.4169921875
1733228506.0190377,40000,-1000.4859008789062
1733228507.065681,40800,-1000.6875
1733228510.950376,41600,-1001.5641479492188
1733228512.2812283,42400,-1001.0838012695312
1733228514.300018,43200,-1001.5612182617188
1733228515.4363708,44000,-1000.974853515625
1733228516.5368302,44800,-1000.9945068359375
1733228517.6020906,45600,-1001.7216186523438
1733228519.5649724,46400,-1000.8540649414062
1733228521.022838,47200,-1001.0006713867188
1733228522.0814815,48000,-1000.511474609375
1733228523.5448422,48800,-1001.33154296875
1733228527.257786,49600,-1002.1148681640625
1733228529.295942,50400,-1003.5303344726562
1733228531.0779624,51200,-1002.503173828125
1733228533.1104321,52000,-1002.3637084960938
1733228534.5748286,52800,-1003.5305786132812
1733228536.2174933,53600,-1002.8851318359375
1733228537.6386242,54400,-1002.7806396484375
1733228540.2362914,55200,-1003.58837890625
1733228542.008125,56000,-1003.3900756835938
1733228543.4641593,56800,-1003.5501098632812
1733228548.8555753,57600,-1004.2859497070312
1733228551.706512,58400,-1003.0972290039062
1733228554.9814074,59200,-1003.0840454101562
1733228558.1389627,60000,-1002.814208984375
1733228562.016957,60800,-807.376708984375
1733228564.3794615,61600,-1002.4027099609375
1733228566.4769745,62400,-1002.6868286132812
1733228572.4446318,63200,-803.5800170898438
1733228574.0761504,64000,-1003.9015502929688
1733228578.1705463,64800,-807.1890869140625
1733228583.1243439,65600,-1002.3311767578125
1733228585.7664258,66400,-1002.8851928710938
1733228587.457938,67200,-1002.6830444335938
1733228589.999512,68000,-1002.3609008789062
1733228593.0298996,68800,-1003.0023803710938
1733228596.4676251,69600,-1002.8568725585938
1733228599.1743944,70400,-1002.938232421875
1733228601.8564677,71200,-1002.9669189453125
1733228604.0747395,72000,-1002.80322265625
1733228607.2584717,72800,-1002.5667114257812
1733228609.3903582,73600,-1002.3745727539062
1733228613.8896427,74400,-1002.7918701171875
1733228615.9285774,75200,-1003.21630859375
1733228619.2273126,76000,-1003.1431274414062
1733228622.183386,76800,-1003.73681640625
1733228626.2895715,77600,-1004.8480224609375
1733228629.7417197,78400,-1004.8198852539062
1733228632.1071262,79200,-1002.67333984375
1733228635.4377177,80000,-1003.466064453125
1733228639.6043103,80800,-1005.1072387695312
1733228644.8621802,81600,-1003.6807861328125
1733228650.4424536,82400,-1003.7259521484375
1733228654.020476,83200,-1003.2352294921875
1733228657.5724952,84000,-1005.5748291015625
1733228661.716399,84800,-1004.5543212890625
1733228666.427523,85600,-1003.547119140625
1733228670.1775591,86400,-1005.059326171875
1733228673.8988695,87200,-1003.087158203125
1733228679.7185357,88000,-1006.099365234375
