Wall time,Step,Value
1733745069.967752,800,-366.20208740234375
1733745076.1583998,1600,-368.2060241699219
1733745082.332969,2400,-340.0423278808594
1733745088.4434302,3200,-317.99884033203125
1733745094.564204,4000,-274.9062194824219
1733745100.7203522,4800,-269.7279357910156
1733745106.9249976,5600,-350.1552734375
1733745113.0324638,6400,-400.72833251953125
1733745119.2588627,7200,-311.629638671875
1733745125.3945117,8000,-331.00091552734375
1733745134.2283351,8800,-281.5313415527344
1733745140.3239734,9600,-280.7848815917969
1733745146.4373786,10400,-261.2398986816406
1733745152.5521502,11200,-269.97503662109375
1733745158.6667898,12000,-306.1712646484375
1733745164.8135514,12800,-328.91644287109375
1733745170.9597838,13600,-299.9778747558594
1733745177.1181688,14400,-329.0959777832031
1733745183.1729672,15200,-264.7440185546875
1733745189.353583,16000,-367.19818115234375
1733745198.141074,16800,-367.48248291015625
1733745204.2727897,17600,-263.86468505859375
1733745210.4634244,18400,-262.1452331542969
1733745216.6181152,19200,-329.74871826171875
1733745222.6635835,20000,-299.5639953613281
1733745228.7601905,20800,-249.71875
1733745234.9238586,21600,-291.1534729003906
1733745241.1209457,22400,-355.35736083984375
1733745247.2964964,23200,-330.3482360839844
1733745253.4846785,24000,-415.03167724609375
1733745262.287522,24800,-256.1424560546875
1733745268.353438,25600,-290.2275085449219
1733745274.5703723,26400,-372.8402099609375
1733745280.6684043,27200,-345.62823486328125
1733745286.8085082,28000,-262.1134948730469
1733745292.9757965,28800,-370.074462890625
1733745299.0044727,29600,-265.22698974609375
1733745305.135151,30400,-239.31251525878906
1733745311.2024353,31200,-221.02615356445312
1733745317.362266,32000,-423.5949401855469
1733745326.0672965,32800,-274.9952392578125
1733745332.0801344,33600,-300.5293273925781
1733745338.0612042,34400,-284.97064208984375
1733745344.0730553,35200,-288.1588439941406
1733745350.0869706,36000,-293.1243896484375
1733745356.2066479,36800,-299.6595458984375
1733745362.180511,37600,-272.12542724609375
1733745368.2181003,38400,-306.90472412109375
1733745374.2687805,39200,-339.25408935546875
1733745380.2779229,40000,-258.6985168457031
1733745386.371457,40800,-391.4326171875
1733745394.9645557,41600,-293.63067626953125
1733745400.9789698,42400,-384.8164978027344
1733745406.9624646,43200,-231.99061584472656
1733745412.9011016,44000,-211.00411987304688
1733745419.075405,44800,-268.4961853027344
1733745425.0461438,45600,-246.3640594482422
1733745431.0184538,46400,-291.9539794921875
1733745436.9549522,47200,-313.14154052734375
1733745442.873862,48000,-261.0631408691406
1733745448.9342031,48800,-270.32989501953125
1733745457.537698,49600,-275.69476318359375
1733745463.4597769,50400,-327.2339172363281
1733745469.3802457,51200,-211.0762176513672
1733745475.3745532,52000,-264.3647155761719
1733745481.3609731,52800,-318.1839904785156
1733745487.3353639,53600,-320.362060546875
1733745493.3568878,54400,-292.3342590332031
1733745499.3207996,55200,-337.81060791015625
1733745505.2093053,56000,-209.2657012939453
1733745511.206079,56800,-268.8662109375
1733745519.7070155,57600,-309.96331787109375
1733745525.5846853,58400,-357.9194641113281
1733745531.4421093,59200,-283.8133544921875
1733745537.351861,60000,-293.45758056640625
1733745543.2512863,60800,-257.43438720703125
1733745549.1138577,61600,-258.1318054199219
1733745555.032408,62400,-365.2698974609375
1733745560.9756193,63200,-303.9627380371094
1733745566.8772025,64000,-271.6587829589844
1733745572.7819083,64800,-273.42327880859375
1733745581.3162823,65600,-289.4805908203125
1733745587.2453475,66400,-267.0403747558594
1733745593.125338,67200,-372.48895263671875
1733745598.9755216,68000,-340.7268981933594
1733745604.8965,68800,-355.3940734863281
1733745610.7851315,69600,-327.81884765625
1733745616.7130678,70400,-307.5045471191406
1733745622.5774937,71200,-293.76043701171875
1733745628.4661412,72000,-388.8003845214844
1733745634.2963302,72800,-215.9928436279297
1733745640.1311498,73600,-338.1418151855469
1733745648.7092915,74400,-301.2522277832031
1733745654.594519,75200,-241.6977081298828
1733745660.4914613,76000,-239.9925079345703
1733745666.285279,76800,-463.85040283203125
1733745672.1913102,77600,-373.0191650390625
1733745678.0014226,78400,-277.0638427734375
1733745683.9701362,79200,-261.562255859375
1733745689.7452896,80000,-321.2044677734375
1733745693.5804045,80800,-527.9885864257812
1733745699.4492097,81600,-277.50531005859375
1733745707.9114406,82400,-251.840087890625
1733745713.8050525,83200,-413.5143737792969
1733745719.7123506,84000,-312.6622619628906
1733745725.668523,84800,-344.5628967285156
1733745731.616448,85600,-299.96539306640625
1733745737.6134799,86400,-228.82211303710938
1733745743.5166016,87200,-298.781982421875
1733745749.4362242,88000,-291.244140625
1733745755.2658775,88800,-310.3955383300781
1733745761.1751177,89600,-296.5079040527344
1733745769.5825598,90400,-359.93328857421875
1733745775.2886972,91200,-376.6752014160156
1733745780.9455945,92000,-331.4232482910156
1733745786.793448,92800,-365.0796203613281
1733745792.5734107,93600,-252.96617126464844
1733745798.3965983,94400,-207.23434448242188
1733745804.2848916,95200,-413.0661926269531
1733745810.0462196,96000,-361.6994323730469
1733745815.8140144,96800,-321.4483947753906
1733745821.6968262,97600,-244.60646057128906
1733745829.9810307,98400,-260.2684020996094
1733745835.7744637,99200,-316.7901916503906
1733745839.5579748,100000,-512.4674682617188
1733745845.2055712,100800,-351.9432373046875
