"Time","PWM","X","Xdot","Theta","Thetadot"
0.44,0.5,-0.45496826171875,-1.2679443359375,2.4252236256472,0.613592315154277
0.45,0.5,-0.46690185546875,-1.19335937499999,2.43442751037451,0.920388472731348
0.46,0.5,-0.477974853515625,-1.10729980468751,2.4466993566776,1.22718463030855
0.47,0.5,-0.488187255859375,-1.02124023437499,2.46357314534434,1.68737886667421
0.48,0.5,-0.49765380859375,-0.946655273437507,2.48198091479897,1.84077694546274
0.49,0.5,-0.506317138671875,-0.8663330078125,2.50652460740514,2.45436926061702
0.5,0.5,-0.514119873046875,-0.7802734375,2.53260228079919,2.6077673394056
0.51,0.5,-0.5211767578125,-0.705688476562493,2.56328189655691,3.06796157577129
0.52,0.5,-0.527373046875,-0.619628906250007,2.59856345467828,3.52815581213699
0.53,0.5,-0.532823486328125,-0.545043945312493,2.63537899358753,3.68155389092553
0.54,0.5,-0.537413330078125,-0.458984375000007,2.67679647486044,4.14174812729122
0.55,0.5,-0.54125732421875,-0.384399414062493,2.72128191770913,4.44854428486838
0.56,0.5,-0.544298095703125,-0.3040771484375,2.76883532213358,4.75534044244546
0.57,0.5,-0.54653564453125,-0.2237548828125,2.81945668813381,5.06213660002262
0.58,0.5,-0.54802734375,-0.149169921875,2.87314601570981,5.36893275759978
0.59,0.5,-0.5487158203125,-0.0688476562500071,2.92990330486157,5.67572891517685
0.6,0.5,-0.54860107421875,0.0114746093750071,2.98972855558911,5.98252507275401
0.61,0.5,-0.547855224609375,0.0745849609374929,3.05108778710454,6.13592315154255
0.62,0.5,-0.5464208984375,0.1434326171875,3.11551498019574,6.44271930911971
0.63,0.5,-0.54435546875,0.206542968750007,-3.10170915310477,6.59611738790829
0.64,0.5,-0.541658935546875,0.2696533203125,-3.0342139984378,6.74951546669682
0.65,0.5,-0.538331298828125,0.332763671875,-2.96518486298294,6.90291354548536
0.66,0.5,-0.534429931640625,0.390136718749993,-2.89462174674021,7.05631162427398
0.67,0.5,-0.5298974609375,0.4532470703125,-2.82405863049747,7.05631162427394
0.68,0.5,-0.5248486328125,0.504882812500007,-2.75196153346684,7.20970970306252
0.69,0.5,-0.519283447265625,0.5565185546875,-2.67986443643622,7.20970970306252
0.7,0.5,-0.51314453125,0.6138916015625,-2.60776733940559,7.20970970306252
0.71,0.5,-0.506546630859375,0.659790039062493,-2.53567024237497,7.20970970306252
0.72,0.5,-0.499432373046875,0.71142578125,-2.46357314534434,7.20970970306247
0.73,0.5,-0.491859130859375,0.75732421875,-2.3930100291016,7.05631162427398
0.74,0.5,-0.48376953125,0.8089599609375,-2.32398089364675,6.90291354548536
0.75,0.5,-0.4752783203125,0.849121093750007,-2.25495175819189,6.9029135454854
0.76,0.5,-0.466328125,0.895019531249993,-2.18745660352492,6.74951546669682
0.77,0.5,-0.4569189453125,0.94091796875,-2.12149542964584,6.59611738790824
0.78,0.5,-0.447108154296875,0.981079101562507,-2.05860221734253,6.28932123033117
0.79,0.5,-0.43683837890625,1.02697753906249,-1.99570900503922,6.28932123033108
0.8,0.5,-0.426109619140625,1.07287597656251,-1.93741773509957,5.82912699396543
