"Time","PWM","X","Xdot","Theta","Thetadot"
0,0.5,0,0,0.3,0
0.01,0.5,-1.07E-05,-0.00213249760729591,0.300451966931317,0.0904031751402343
0.02,0.5,-4.26E-05,-0.00425530208501735,0.301808687895016,0.180993667034561
0.03,0.5,-9.58E-05,-0.0063726910740503,0.304073322055967,0.272028704068372
0.04,0.5,-0.000170067306770402,-0.0084888252264134,0.307251602265889,0.363765848201481
0.05,0.5,-0.000265546040820345,-0.0106077010203341,0.311351839955361,0.456463302598063
0.06,0.5,-0.00038224310036455,-0.0127330997198233,0.316384932977008,0.550380192573827
0.07,0.5,-0.000520241514159753,-0.0148685309447724,0.322364376082483,0.645776809664665
0.08,0.5,-0.000679657788032734,-0.0170171692484728,0.329306273611056,0.742914808021102
0.09,0.5,-0.000860638201657294,-0.0191817820134233,0.337229353856036,0.842057341589172
0.1,0.5,-0.00106335433347335,-0.0213646468771171,0.346154984455646,0.94346912967502
0.11,0.5,-0.00128799769966168,-0.0235674567923842,0.356107188026232,1.04741643754098
0.12,0.5,-0.00153477337359081,-0.0257912107188332,0.367112657117246,1.15416695769052
0.13,0.5,-0.00180389243160829,-0.0280360878423743,0.379200767419105,1.26398957652868
0.14,0.5,-0.00209556304960116,-0.0303013031409866,0.392403587997408,1.37715401021217
0.15,0.5,-0.00240998005268291,-0.0325849420726661,0.406755887161556,1.49393029282946
0.16,0.5,-0.00274731269813835,-0.0348837721759034,0.422295132405155,1.61458809970116
0.17,0.5,-0.00310769045006216,-0.0371930294690075,0.439061482683632,1.73939588871741
0.18,0.5,-0.00349118648392123,-0.0395061777424675,0.457097771126947,1.86861984341045
0.19,0.5,-0.00389779864185301,-0.041814639194446,0.476449476129678,2.00252260310414
0.2,0.5,-0.00432742754656462,-0.0441074954053556,0.497164678626813,2.14136176821089
0.21,0.5,-0.004779851575354,-0.0463711584305015,0.519294003263326,2.28538817279297
0.22,0.5,-0.00525469839865876,-0.0485890128612336,0.542890541113336,2.43484392208784
0.23,0.5,-0.00575141280280119,-0.0507410311179933,0.568009751616638,2.58996019999209
0.24,0.5,-0.00626922054791356,-0.052803366044538,0.594709341494311,2.75095486059595
0.25,0.5,-0.00680708806355903,-0.054747927116523,0.623049118598913,2.91802982871005
0.26,0.5,-0.00736367786086669,-0.0565419492921022,0.653090818964799,3.09136834666898
0.27,0.5,-0.00793729964586359,-0.0581475667300309,0.684897905762935,3.27113211798052
0.28,0.5,-0.00852585725889752,-0.0595214072670967,0.718535339437252,3.45745841169121
0.29,-0.169354945652798,-0.00912679174407008,-0.0606142276317136,0.754069318999801,3.65045720327028
0.3,-0.169158842004121,-0.00973702107420988,-0.061370613783954,0.791566995266929,3.85020843646455
0.31,-0.168986647654852,-0.0103528773237695,-0.0617287753820026,0.831096157683672,4.05675949347833
0.32,-0.168844278836704,-0.0109700423952686,-0.0616204680117026,0.872724897236571,4.27012295498524
0.33,-0.168737955199359,-0.0115834837638446,-0.0609710812859308,0.916521248691673,4.49027471345521
0.34,-0.168673993196601,-0.0121873921064583,-0.0596999350284668,0.962552815874803,4.7171524694232
0.35,-0.168658520526491,-0.0127751231228402,-0.0577208293362346,1.01088638375862,4.95065458704964
0.36,-0.168697102213382,-0.0133391463284881,-0.054942897262635,1.06158752052534,5.19063920951302
0.37,-0.168794272832661,-0.013871004099531,-0.0512718111793938,1.11472017129795,5.43692343427401
0.38,-0.168952975719362,-0.0143612847691648,-0.0466113956665983,1.1703462426248,5.68928222239189
0.39,-0.169173919301471,-0.0147996141114243,-0.0408657012612484,1.22852517281404,5.94744656626472
0.4,-0.16945487344948,-0.0151746700983714,-0.0339415948013591,1.28931347762353,6.21110027052627
0.41,-0.169789945309809,-0.015474226381363,-0.0257519235445343,1.35276425345621,6.47987451899755
0.42,-0.170168894624593,-0.0156852305253112,-0.0162193114320909,1.41892661102434,6.75333921885638
0.43,-0.170576572723276,-0.0157939236097338,-0.00528064573170353,1.48784500151767,7.03098995036096
0.44,-0.170992798721457,-0.0157860083778566,0.00710769160803159,1.55955838496144,7.31222923482989
0.45,0.1793383994024,-0.015646873607058,0.0209638057051567,1.63409917734946,7.59634080742743
0.46,0.178843401253522,-0.0153618826740692,0.0362734691470826,1.71149190047274,7.88245570713956
0.47,0.17811271245457,-0.0149167341891505,0.0529825408785804,1.7917514480792,8.16950936410908
0.48,0.177108696472833,-0.0142979017383482,0.0709887591099844,1.87488087710181,8.45618959744091
0.49,0.175799121051422,-0.013493157699038,0.0901331990019643,1.96086863758581,8.74087668998753
0.5,0.174162039033446,-0.0124921820926829,0.110191918920057,2.04968517568413,9.0215786494488
0.51,0.172191498953793,-0.0112872506640467,0.130868641502435,2.14127888828852,9.2958675285498
0.52,0.169903607144905,-0.00987398594956754,0.151789719875066,2.23557148385612,9.56082625106908
0.53,0.167342120775573,-0.00825214039285145,0.172503078758137,2.3324529186335,9.8130194568072
0.54,0.164582399678117,-0.00642636170698469,0.192483187393042,2.43177623202677,10.0485055992166
0.55,0.161732297239165,-0.00440686925002785,0.211144231958667,2.53335278883032,10.2629093779793
0.56,0.15892858998821,-0.00220994994044765,0.227863261636958,2.63694862030778,10.4515714118247
0.57,0.156328010149377,0.000141830501726156,0.242013942881096,2.74228268897413,10.6097836245311
0.58,0.154088110277088,0.00261980231253265,0.253009576034242,2.84902791370903,10.7331030313056
0.59,0.152354119856224,0.0051898276592709,0.260351440074311,2.95681561434408,10.8177151282493
0.6,0.151243162847423,0.00781342064563523,0.263676006896818,3.06524363539499,10.8607964125788
0.61,0.150824482747975,0.0104493009490149,0.262793106859387,3.1738878265292,10.860812247281
0.62,0.151109531520925,0.0130552522274651,0.25770765265094,3.28231591923136,10.8176894390267
0.63,0.152050953289408,0.0155900947097289,0.248620319810456,3.3901023296551,10.7328252561384
0.64,0.153550687780589,0.0180155563928817,0.235906941727226,3.49684220736016,10.6089304362497
0.65,0.155475155185028,0.0202978477650454,0.220080838546911,3.60216321426634,10.4497405409028
