Time,PWM,X,Xdot,Theta,Thetadot
0,0.08,0.00103271484375,0.0,-3.13852469201402,0.306796157577116
0.01,0.08,0.001090087890625,0.00573730468750001,-3.13852469201402,0
0.02,0.08,0.00126220703125,0.0172119140625,-3.13852469201402,0
0.03,0.08,0.00149169921875,0.02294921875,-3.13852469201402,0
0.04,0.08,0.00172119140625,0.02294921875,-3.13699071122614,0.15339807878858
0.05,0.08,0.0020654296875,0.034423828125,-3.13545673043825,0.15339807878858
0.06,0.08,0.002467041015625,0.0401611328125,-3.13545673043825,0
0.07,0.08,0.002926025390625,0.0458984375,-3.13392274965037,0.153398078788536
0.08,0.08,0.0034423828125,0.0516357421875,-3.13238876886248,0.15339807878858
0.09,0.08,0.00401611328125,0.057373046875,-3.13085478807459,0.153398078788536
0.1,0.08,0.00458984375,0.0573730468749999,-3.12932080728671,0.15339807878858
0.11,0.08,0.005220947265625,0.0631103515625001,-3.12778682649882,0.15339807878858
0.12,0.08,0.005909423828125,0.06884765625,-3.12471886492305,0.306796157577116
0.13,0.08,0.0066552734375,0.0745849609375,-3.12318488413517,0.15339807878858
0.14,0.08,0.00745849609375,0.0803222656249999,-3.12165090334728,0.153398078788536
0.15,0.08,0.00826171875,0.080322265625,-3.11858294177151,0.306796157577161
0.16,0.08,0.009122314453125,0.0860595703125,-3.11704896098362,0.153398078788536
0.17,0.08,0.00998291015625,0.0860595703125001,-3.11551498019574,0.15339807878858
0.18,0.08,0.010843505859375,0.0860595703125,-3.11244701861997,0.306796157577116
0.19,0.08,0.01135986328125,0.0516357421874998,-3.11091303783208,0.15339807878858
0.2,0.08,0.0117041015625,0.0344238281250002,-3.10784507625631,0.306796157577116
0.21,0.08,0.011876220703125,0.0172119140625,-3.10631109546842,0.15339807878858
0.22,0.08,0.0121630859375,0.0286865234375,-3.10324313389265,0.306796157577116
0.23,0.08,0.013253173828125,0.1090087890625,-3.10170915310477,0.15339807878858
0.24,0.08,0.014400634765625,0.11474609375,-3.098641191529,0.306796157577116
0.25,0.08,0.01560546875,0.1204833984375,-3.09710721074111,0.153398078788536
0.26,0.08,0.01686767578125,0.126220703125,-3.09403924916534,0.306796157577161
0.27,0.08,0.0181298828125,0.126220703125,-3.09250526837745,0.153398078788536
0.28,0.08,0.019449462890625,0.1319580078125,-3.08943730680168,0.306796157577161
0.29,0.08,0.02076904296875,0.1319580078125,-3.0879033260138,0.153398078788536
0.3,0.08,0.02214599609375,0.1376953125,-3.08636934522591,0.15339807878858
