Time,PWM,X,Xdot,Theta,Thetadot
0,0.1,0.000860595703125,0.0,-3.14005867280191,0.15339807878858
0.01,0.1,0.000975341796875,0.011474609375,-3.14005867280191,0
0.02,0.1,0.0011474609375,0.0172119140625,-3.13852469201402,0.153398078788536
0.03,0.1,0.001434326171875,0.0286865234375,-3.13852469201402,0
0.04,0.1,0.0018359375,0.0401611328125,-3.13699071122614,0.15339807878858
0.05,0.1,0.002237548828125,0.0401611328125,-3.13545673043825,0.15339807878858
0.06,0.1,0.002811279296875,0.057373046875,-3.13392274965037,0.153398078788536
0.07,0.1,0.0034423828125,0.0631103515625001,-3.13238876886248,0.15339807878858
0.08,0.1,0.004130859375,0.0688476562499999,-3.13085478807459,0.153398078788536
0.09,0.1,0.004876708984375,0.0745849609375,-3.12932080728671,0.15339807878858
0.1,0.1,0.0057373046875,0.0860595703125001,-3.12625284571094,0.306796157577116
0.11,0.1,0.0066552734375,0.091796875,-3.12471886492305,0.15339807878858
0.12,0.1,0.007630615234375,0.0975341796875,-3.12165090334728,0.306796157577116
0.13,0.1,0.008720703125,0.1090087890625,-3.11858294177151,0.306796157577161
0.14,0.1,0.009810791015625,0.1090087890625,-3.11551498019574,0.306796157577116
0.15,0.1,0.011015625,0.1204833984375,-3.11244701861997,0.306796157577116
0.16,0.1,0.012220458984375,0.1204833984375,-3.1093790570442,0.306796157577116
0.17,0.1,0.013482666015625,0.126220703125,-3.10631109546842,0.306796157577161
0.18,0.1,0.01480224609375,0.1319580078125,-3.10324313389265,0.306796157577116
0.19,0.1,0.016236572265625,0.1434326171875,-3.10017517231688,0.306796157577116
0.2,0.1,0.0176708984375,0.1434326171875,-3.09710721074111,0.306796157577116
0.21,0.1,0.019219970703125,0.1549072265625,-3.09250526837745,0.460194236365696
0.22,0.1,0.020826416015625,0.16064453125,-3.08943730680168,0.306796157577161
0.23,0.1,0.022490234375,0.1663818359375,-3.08636934522591,0.306796157577116
0.24,0.1,0.02421142578125,0.172119140625,-3.08330138365014,0.306796157577116
0.25,0.1,0.0259326171875,0.172119140625,-3.07869944128648,0.460194236365696
0.26,0.1,0.0277685546875,0.18359375,-3.07563147971071,0.306796157577116
0.27,0.1,0.029547119140625,0.1778564453125,-3.07256351813494,0.306796157577161
0.28,0.1,0.031497802734375,0.195068359375,-3.06949555655917,0.306796157577116
0.29,0.1,0.033448486328125,0.195068359375,-3.0664275949834,0.306796157577116
0.3,0.1,0.03545654296875,0.2008056640625,-3.06335963340763,0.306796157577116
0.31,0.1,0.037464599609375,0.2008056640625,-3.06029167183185,0.306796157577161
0.32,0.1,0.03947265625,0.2008056640625,-3.05722371025608,0.306796157577116
0.33,0.1,0.041595458984375,0.2122802734375,-3.05415574868031,0.306796157577116
0.34,0.1,0.043775634765625,0.218017578124999,-3.05108778710454,0.306796157577161
0.35,0.1,0.04601318359375,0.223754882812501,-3.04801982552877,0.306796157577116
0.36,0.1,0.048250732421875,0.2237548828125,-3.04648584474088,0.153398078788536
0.37,0.1,0.050545654296875,0.2294921875,-3.04341788316511,0.306796157577161
0.38,0.1,0.052840576171875,0.229492187499999,-3.04034992158934,0.306796157577116
0.39,0.1,0.05519287109375,0.235229492187501,-3.03881594080146,0.15339807878858
0.4,0.1,0.0576025390625,0.240966796875,-3.03728196001357,0.153398078788536
0.41,0.1,0.06001220703125,0.240966796874999,-3.03574797922568,0.15339807878858
0.42,0.1,0.062479248046875,0.246704101562501,-3.0342139984378,0.15339807878858
0.43,0.1,0.065003662109375,0.25244140625,-3.03268001764991,0.153398078788536
0.44,0.1,0.06758544921875,0.2581787109375,-3.03114603686203,0.15339807878858
0.45,0.1,0.070224609375,0.263916015625,-3.02961205607414,0.153398078788536
0.46,0.1,0.07286376953125,0.263916015625,-3.02961205607414,0
0.47,0.1,0.075560302734375,0.2696533203125,-3.02807807528626,0.15339807878858
0.48,0.1,0.078314208984375,0.275390624999999,-3.02807807528626,0
0.49,0.1,0.081068115234375,0.275390625000001,-3.02807807528626,0
0.5,0.1,0.08387939453125,0.2811279296875,-3.02807807528626,0
0.51,0.1,0.086748046875,0.286865234375,-3.02807807528626,0
0.52,0.1,0.089559326171875,0.2811279296875,-3.02807807528626,0
0.53,0.1,0.0924853515625,0.2926025390625,-3.02961205607414,-0.15339807878858
0.54,0.1,0.09535400390625,0.286865234375,-3.02961205607414,0
0.55,0.1,0.098280029296875,0.292602539062498,-3.03114603686203,-0.153398078788536
0.56,0.1,0.1012060546875,0.292602539062502,-3.03268001764991,-0.15339807878858
0.57,0.1,0.104132080078125,0.2926025390625,-3.03574797922568,-0.306796157577116
0.58,0.1,0.1071728515625,0.304077148437498,-3.03728196001357,-0.15339807878858
0.59,0.1,0.110213623046875,0.304077148437502,-3.03881594080146,-0.153398078788536
0.6,0.1,0.11325439453125,0.3040771484375,-3.04188390237723,-0.306796157577161
0.61,0.1,0.116295166015625,0.3040771484375,-3.044951863953,-0.306796157577116
0.62,0.1,0.11945068359375,0.3155517578125,-3.04648584474088,-0.15339807878858
0.63,0.1,0.122606201171875,0.3155517578125,-3.04955380631666,-0.306796157577116
0.64,0.1,0.12576171875,0.3155517578125,-3.05415574868031,-0.460194236365696
0.65,0.1,0.128974609375,0.3212890625,-3.05722371025608,-0.306796157577116
0.66,0.1,0.1321875,0.321289062499998,-3.06029167183185,-0.306796157577116
0.67,0.1,0.135400390625,0.321289062500002,-3.06489361419551,-0.460194236365696
0.68,0.1,0.13861328125,0.3212890625,-3.06796157577128,-0.306796157577116
